id;latitude;longitude;nom_batiment;photo_principale;photo_principale_content_type;photo_principale_legende;photo_principale_description;photo_1;photo_1_content_type;photo_1_legende;photo_1_description;photo_2;photo_2_content_type;photo_2_legende;photo_2_description;photo_3;photo_3_content_type;photo_3_legende;photo_3_description;photo_4;photo_4_content_type;photo_4_legende;photo_4_description;photo_5;photo_5_content_type;photo_5_legende;photo_5_description;technique_secondaire;usage_batiment;cout;surface_plancher;niveaux;travaux_neuf;travaux_extension;travaux_renov;travaux_ite;travaux_iti;construction_debut;construction_fin;bottes_taille;botte_taille_autre;bottes_densite;bottes_cereale;distance_appro;autoconstruction;participatif;struct_suppl;struct_suppl_nature;note_calcul;nbr_rang_de_bottes;long_max_sans_mur_refend;integ_baie;support_ancrage;support_ancrage_precisions;revet_int;revet_ext;revet_ext_autre;maitre_d_ouvrage;maitre_d_oeuvre;architecte;bureau_d_etude_structure;bureau_control;entreprise_bottes;entreprise_charpente;entreprise_enduits;description_projet;difficultees;astuces;divers;contact_nom;contact_mail;contact_phone;code_postal;non_batiment_et_photos_publics;date_creation_fiche;date_modification_fiche
1;60;-14;deposit cultivate Gloves;../fake-data/blob/hipster.png;image/png;enterprise Buckinghamshire Ergonomic;Rubber;../fake-data/blob/hipster.png;image/png;Health;deposit;../fake-data/blob/hipster.png;image/png;bi-directional;RAM open-source Savings;../fake-data/blob/hipster.png;image/png;microchip deposit;magenta port;../fake-data/blob/hipster.png;image/png;Avon;Soap;../fake-data/blob/hipster.png;image/png;Dobra a b;Suriname withdrawal;true;BATIMENT_SOCIO_CULTUREl;345;91425;72070;true;true;false;true;true;2021-11-05;2021-11-05;T_50_X_80_X_110_a_200_CM;magnetic;81297;SEIGLE;34811;PARTIEL;PARTIEL;false;MACONNERIE;false;40732;33099;PRE_CADRE_FLOTTANT;METAL;Granite interface;AUTRE;ENDUIT_TERRE;index;b;navigating;THX Industrial b;Pants de Hat;Brunei Bourgogne toolset;needs-based du;Saint-Séverin reboot;Vaneau c;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;virtual;Home Baby Somalie;explicit;Accoun;true;2021-11-05;2021-11-06
2;-14;55;engineer homogeneous THX;../fake-data/blob/hipster.png;image/png;Car a Plastic;AGP b Naira;../fake-data/blob/hipster.png;image/png;Digitized Provence-Alpes-Côte Pants;d'Azur PCI;../fake-data/blob/hipster.png;image/png;Shoes c Suède;Towels Analyste navigate;../fake-data/blob/hipster.png;image/png;dominicaine Re-contextualized function;Îles Borders;../fake-data/blob/hipster.png;image/png;withdrawal intangible;Concrete;../fake-data/blob/hipster.png;image/png;a;e-markets Rubber;false;BATIMENT_DE_LOISIRS;46579;76985;36994;true;false;true;true;true;2021-11-05;2021-11-06;T_36_X_46_X_70_a_120_CM;demand-driven silver;85319;AVOINE;3358;NON;PARTIEL;false;METAL;false;99834;95369;FIXE;AUTRE;Industrial Algerian;AUTRE;ENDUIT_CHAUX;Technicien;b generating matrix;Visionary card;Oberkampf Rustic;Industrial Provence-Alpes-Côte;intuitive Investment;Tuna b plum;Handmade payment cutting-edge;hacking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;des Granite Awesome;Chair Berkshire Naira;enhance c;Specia;false;2021-11-05;2021-11-05
3;71;-61;protocol c Franche-Comté;../fake-data/blob/hipster.png;image/png;Rhône-Alpes Buckinghamshire virtual;b bandwidth Plastic;../fake-data/blob/hipster.png;image/png;Handmade Steel Gorgeous;engage demand-driven a;../fake-data/blob/hipster.png;image/png;quantifying XSS Manager;l'Odéon Antigua-et-Barbuda;../fake-data/blob/hipster.png;image/png;programming Avon;matrix Avon transmit;../fake-data/blob/hipster.png;image/png;navigate Borders;calculate USB;../fake-data/blob/hipster.png;image/png;Frozen;deposit;true;BATIMENT_ADMINISTRATIF;92879;25421;15805;false;false;false;false;true;2021-11-06;2021-11-05;T_70_X_120_X_230_CM;Saint-Denis utilize card;845;AVOINE;42554;PARTIEL;NON;false;METAL;true;27063;39473;AUTRE;MACONNERIE;Seamless;ENDUIT_TERRE_ET_CHAUX;ENDUIT_TERRE;Sri Norvège;Ariary portals;Pataca bypass;payment Practical payment;primary wireless;EXE best-of-breed;Ingenieur;Bike;e-business Savings Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Automotive;Car Pants;Auto;monito;false;2021-11-06;2021-11-06
4;59;-55;impactful B2C;../fake-data/blob/hipster.png;image/png;parsing c;schemas deposit Practical;../fake-data/blob/hipster.png;image/png;c b;niches Small Vaugirard;../fake-data/blob/hipster.png;image/png;actuating Jewelery withdrawal;Licensed optical;../fake-data/blob/hipster.png;image/png;set;Buckinghamshire one-to-one;../fake-data/blob/hipster.png;image/png;sensor Gloves bluetooth;Rustic;../fake-data/blob/hipster.png;image/png;input;override Rhône-Alpes;false;BATIMENT_AGRICOLE;61976;79093;47650;true;true;false;true;false;2021-11-05;2021-11-06;T_70_X_120_X_230_CM;Handcrafted Provence-Alpes-Côte schemas;6717;SEIGLE;87048;OUI;OUI;true;BOIS;false;53639;76126;FIXE;BOIS;reinvent Cheese de;AUTRE;AUTRE;engage mission-critical Account;input Irak;Down-sized;Rubber Kroon;Computer Towels;Concrete Arménie array;Cayman panel;compressing empower;programming leading-edge integrate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;alarm maximized;iterate HDD c;AI;Bourgo;true;2021-11-06;2021-11-06
5;12;70;Salad;../fake-data/blob/hipster.png;image/png;Auto turquoise b;Salad Robust;../fake-data/blob/hipster.png;image/png;generating;Fresh matrix Buckinghamshire;../fake-data/blob/hipster.png;image/png;Champagne-Ardenne application Centre;Fresh de wireless;../fake-data/blob/hipster.png;image/png;Rustic Intelligent;Wooden up b;../fake-data/blob/hipster.png;image/png;Caumartin;Sausages JSON;../fake-data/blob/hipster.png;image/png;Credit Account;primary Agent;false;BATIMENT_ADMINISTRATIF;23230;6157;86041;false;true;false;false;false;2021-11-06;2021-11-06;T_36_X_46_X_70_a_120_CM;navigating;57356;SEIGLE;64873;OUI;NON;false;METAL;false;7519;95264;PRE_CADRE_FLOTTANT;BETON_ARME;compress digital Borders;LAMBRIS;ENDUIT_TERRE_ET_CHAUX;Kuwaiti Refined;Cheese;Bosnie-Herzégovine Rand Small;Steel indexing;networks Kyat withdrawal;Moldavie;Granite innovate;b;24/7 architectures Singapour;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;connecting e-markets;orchestrate;Open-architected solutions back-end;naviga;false;2021-11-05;2021-11-06
6;-81;76;Personal web-readiness Fantastic;../fake-data/blob/hipster.png;image/png;sensor;Rustic a;../fake-data/blob/hipster.png;image/png;morph;Avon Awesome;../fake-data/blob/hipster.png;image/png;Up-sized Shoes b;application Soft;../fake-data/blob/hipster.png;image/png;framework database Granite;solutions;../fake-data/blob/hipster.png;image/png;Automated Buckinghamshire;Soap Computers infomediaries;../fake-data/blob/hipster.png;image/png;Handcrafted tan;User-friendly;false;OUVRAGE_EXCEPTIONNEL;26395;30932;39536;true;false;true;false;false;2021-11-05;2021-11-06;T_50_X_80_X_110_a_200_CM;Concrete Awesome;32625;TRITICALE;58495;PARTIEL;PARTIEL;false;MACONNERIE;false;30835;6827;COULISSANT;BETON_ARME;a protocol;PLAQUE_DE_PLATRE;AUTRE;cross-platform matrix;networks infomediaries;Account digital open;de directional open-source;Fish;primary b;generate;Franc interface;synthesize enterprise withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;analyzing Loan;proactive Synchronised;Centre;turquo;false;2021-11-06;2021-11-05
7;-3;30;solutions;../fake-data/blob/hipster.png;image/png;logistical Automotive Handcrafted;cross-platform Licensed c;../fake-data/blob/hipster.png;image/png;Rubber index;demand-driven Diverse;../fake-data/blob/hipster.png;image/png;sexy;driver;../fake-data/blob/hipster.png;image/png;face;Delesseux Granite AI;../fake-data/blob/hipster.png;image/png;Bourgogne SDD proactive;auxiliary transparent;../fake-data/blob/hipster.png;image/png;Berkshire;Inde;true;BATIMENT_DE_LOISIRS;90617;89919;7121;true;true;true;true;true;2021-11-06;2021-11-06;T_70_X_120_X_230_CM;Bacon Consultant synergies;24274;ORGE;84064;NON;OUI;true;METAL;false;7895;24525;COULISSANT;MACONNERIE;b primary;ENDUIT_PLATRE;ENDUIT_CHAUX;open-source Cheese;c;Roumanie Steel hack;feed PNG Executif;Ball Mouse;yellow de Specialiste;hacking;protocol Shirt;b Dahomey explicit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Aquitaine;transmitter bypass Cedi;Grands Limousin;Ergono;true;2021-11-06;2021-11-06
8;-16;49;Designer seize cultivate;../fake-data/blob/hipster.png;image/png;Personal generating Plastic;users microchip;../fake-data/blob/hipster.png;image/png;payment Philippines payment;evolve revolutionary;../fake-data/blob/hipster.png;image/png;Cambridgeshire Exclusive;c Concrete;../fake-data/blob/hipster.png;image/png;a;Berkshire c;../fake-data/blob/hipster.png;image/png;Account Bike;Account b Unbranded;../fake-data/blob/hipster.png;image/png;high-level Money de;Intelligent Superviseur;false;BATIMENT_DE_LOISIRS;35929;24374;8523;false;false;false;false;true;2021-11-05;2021-11-05;T_70_X_120_X_230_CM;open-source a b;70852;TRITICALE;72313;OUI;OUI;false;MACONNERIE;false;12850;5259;AUTRE;MACONNERIE;syndicate;PLAQUE_DE_PLATRE;BARDAGE_VENTILE;Avon Mouse cross-platform;concept Account;Fresh Up-sized feed;Small;a;plum;Realigned emulation c;c;Incredible Oberkampf withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pizza;Fish JSON;b;neural;true;2021-11-06;2021-11-06
9;82;36;c Unbranded Account;../fake-data/blob/hipster.png;image/png;generate;calculate bandwidth;../fake-data/blob/hipster.png;image/png;user-centric Buckinghamshire Alsace;mobile magenta Enterprise-wide;../fake-data/blob/hipster.png;image/png;leading-edge interfaces Small;Wooden;../fake-data/blob/hipster.png;image/png;fuchsia channels;Micronésie value-added;../fake-data/blob/hipster.png;image/png;XML compress;b Rubber green;../fake-data/blob/hipster.png;image/png;withdrawal Account;management Mouffetard;false;BATIMENT_SOCIO_CULTUREl;56425;80262;28894;true;false;true;true;false;2021-11-05;2021-11-06;AUTRE;Sleek;74012;ORGE;92422;OUI;OUI;false;BETON_ARME;true;83128;39528;COULISSANT;MACONNERIE;calculate;LAMBRIS;BARDAGE_VENTILE;supply-chains;Auvergne value-added;Buckinghamshire SSL sky;indexing Pastourelle;experiences Borders;Steel Generic payment;Plastic Cheese Ghana;contingency feed calculating;hack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Account bricks-and-clicks;gold;access;Multi-;true;2021-11-05;2021-11-05
10;-61;24;orchestration Bacon Frozen;../fake-data/blob/hipster.png;image/png;b Computer;invoice;../fake-data/blob/hipster.png;image/png;Vaugirard Producteur Congolese;d'Assas XML;../fake-data/blob/hipster.png;image/png;neural integrated;a;../fake-data/blob/hipster.png;image/png;Kwanza capacitor Berkshire;optimize matrix primary;../fake-data/blob/hipster.png;image/png;Practical Fresh;Chips Account;../fake-data/blob/hipster.png;image/png;navigating Metal;sensor invoice;false;BATIMENT_DE_SANTE;37145;82148;27770;false;true;false;false;false;2021-11-06;2021-11-05;T_50_X_80_X_110_a_200_CM;action-items;37207;BLE;10690;NON;OUI;true;METAL;true;38414;12017;COULISSANT;METAL;Soft Keyboard Streamlined;PLAQUE_DE_PLATRE;AUTRE;Handmade array;index Krona;Agent;bypassing SDD bluetooth;Saudi parsing Developpeur;Bedfordshire;Alsace;Maroc salmon engine;real-time e-services;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Saint-Denis Metal JSON;gold;SDD;haptic;true;2021-11-06;2021-11-06
